num_nodes,num_edges,parallel_time,sequential_time
500,12475,0.003,0.002
1000,49950,0.010,0.008
1500,112425,0.023,0.021
2000,199900,0.038,0.038
2500,312375,0.065,0.059
3000,449850,0.090,0.084
3500,612325,0.128,0.114
4000,799800,0.197,0.154
4500,1012275,0.207,0.227
5000,1249750,0.270,0.313
5500,1512225,0.321,0.307
6000,1799700,0.379,0.460
6500,2112175,0.488,0.548
7000,2449650,0.536,0.495
7500,2812125,0.629,0.571
8000,3199600,0.715,0.881
8500,3612075,0.791,0.756
9000,4049550,0.941,0.836
9500,4512025,1.018,1.251
10000,4999500,1.133,1.043